,accept,entity,label,uniq_id,previous_encoding,new_encoding,entities,abridged_xpath,descendant_order,file
10,,Boston,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached Brookfield, 64 miles from Boston, just at the setting of the Sun&#8212; About 3 miles short of Brookfield, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached Brookfield, 64 miles from <placeName>Boston</placeName>, just at the setting of the Sun&#8212; About 3 miles short of Brookfield, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","['Boston', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",29,JQADiaries-v27-1809-01-p383.xml
11,,Brookfield,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached Brookfield, 64 miles from Boston, just at the setting of the Sun&#8212; About 3 miles short of Brookfield, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached <placeName>Brookfield</placeName>, 64 miles from Boston, just at the setting of the Sun&#8212; About 3 miles short of <placeName>Brookfield</placeName>, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","['Brookfield', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",29,JQADiaries-v27-1809-01-p383.xml
12,,Brookfield,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached Brookfield, 64 miles from Boston, just at the setting of the Sun&#8212; About 3 miles short of Brookfield, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>26. </date>At 6. O&#8217;Clock this morning, the Stage called for me at my house, and I took my departure&#8212; I was alone in the Sleigh&#8212; Breakfasted at Sudbury&#8212;dined at Worcester, and reached <placeName>Brookfield</placeName>, 64 miles from Boston, just at the setting of the Sun&#8212; About 3 miles short of <placeName>Brookfield</placeName>, we met a Gentleman and Lady who were in a sleigh, intending to go to Worcester&#8212; But having a restive horse whom they could not make either to advance or to return, the Lady took a Seat in the Stage with me to go home&#8212; This was the only Company that I had, in the course of this day&#8212; The roads have been as fine for sleighing as I ever knew them&#8212; At the Inn at Brookfield I found company; and unexpectedly met <persRef ref=""story-joseph"">M<hi rend=""superscript"">r:</hi> Story</persRef>, the member of Congress, who is on his return home&#8212; <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Merrick</persRef> of this place, called upon us, and invited us to his house; but we both excused ourselves&#8212; I sat in conversation with M<hi rend=""superscript"">r:</hi> Story untill past Midnight&#8212; Almost entirely upon the situation of public affairs&#8212; I have found a great agitation of mind every where as I came along.&#8212; Much alarm and dissatisfaction, with an expectation of strong internal commotions.</p> ","['Brookfield', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",29,JQADiaries-v27-1809-01-p383.xml
13,,Brookfield,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left <placeName>Brookfield</placeName>&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Brookfield', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
14,,Suffield,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at <placeName>Suffield</placeName> in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Suffield', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
15,,Connecticut,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in <placeName>Connecticut</placeName>, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Connecticut', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
16,,Hartford,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at <placeName>Hartford</placeName> at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at <placeName>Hartford</placeName> I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from <placeName>Hartford</placeName> to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at <placeName>Hartford</placeName> I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left <placeName>Hartford</placeName> between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Hartford', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
17,,Springfield,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as <placeName>Springfield</placeName>. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Springfield', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
18,,Hartford,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at <placeName>Hartford</placeName> at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at <placeName>Hartford</placeName> I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from <placeName>Hartford</placeName> to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at <placeName>Hartford</placeName> I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left <placeName>Hartford</placeName> between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Hartford', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
19,,Boston,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at <placeName>Boston</placeName>, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Boston', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
20,,Stages,LOC,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of Stages, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>27. </date>About 6. this morning I left Brookfield&#8212; Breakfasted at Palmer. Dined at Suffield in Connecticut, and arrived at Hartford at Sun-Set. I had a fellow-traveller as far as Springfield. 28 miles; and the remainder of the way was alone. On arriving at Hartford I found that I had been misinformed at Boston, as to the time taken by this line of <placeName>Stages</placeName>, to reach New-York&#8212; They had told me, that I should be but two days from Hartford to New-York; and it was upon this Statement that I postponed the day of my departure untill yesterday, from the day before&#8212; But at Hartford I learnt, that the Stage would take the whole day to-morrow to reach New-Haven&#8212; That the next day being Sunday, it would not go from New-Haven at all&#8212; And that leaving that place on Monday, it would go only to Rye on that day, and arrive at New-York about noon on Tuesday&#8212; This would delay me so much as to make it doubtful whether I could reach Washington, by the fourth or even the fifth of February, when at the latest I ought to be there&#8212; I determined therefore to proceed this Evening to New-Haven, and overtake the Stage, which goes to-morrow morning from that place&#8212; By giving an extra-price to the proprietor of the line, I prevailed upon him to send me on accordingly&#8212;left Hartford between 6 and 7. this Evening; and traveling through Farmington and Southington, arrived</p> ","['Stages', 'LOC']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",30,JQADiaries-v27-1809-01-p383.xml
