year,subjects,count,total,percentage
1800,Convention of 1800 (Treaty of Mortefontaine),1,216,0.0
1800,Court Life and Society (European),17,216,8.0
1800,Diplomacy/Diplomatic Activities,5,216,2.0
1800,Health and Illness,39,216,18.0
1800,Recreation,96,216,44.0
1800,Textile Industry,3,216,1.0
1800,Travel and Touring (international),53,216,25.0
1801,Adams Family Finances,10,205,5.0
1801,Adams Family Residences,3,205,1.0
1801,American Revolution,1,205,0.0
1801,Court Life and Society (European),10,205,5.0
1801,Diplomacy/Diplomatic Activities,6,205,3.0
1801,Elections,2,205,1.0
1801,French Revolution>,1,205,0.0
1801,Health and Illness,45,205,22.0
1801,Presidential (1800),2,205,1.0
1801,Recreation,91,205,44.0
1801,Religion,5,205,2.0
1801,Travel and Touring (international),29,205,14.000000000000002
1802,Adams Family Finances,8,67,12.0
1802,Adams Family Residences,1,67,1.0
1802,Bank of the United States,1,67,1.0
1802,Federalist Party,1,67,1.0
1802,Health and Illness,17,67,25.0
1802,Recreation,38,67,56.99999999999999
1802,Slave Trade,1,67,1.0
1803,Adams Family Finances,20,168,12.0
1803,Adams Family Residences,2,168,1.0
1803,Democratic-Republican Party (1801–1824),3,168,2.0
1803,Federalist Party,4,168,2.0
1803,Health and Illness,20,168,12.0
1803,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,168,1.0
1803,Louisiana Purchase,15,168,9.0
1803,Native Americans,3,168,2.0
1803,Recreation,53,168,32.0
1803,Religion,20,168,12.0
1803,Science and Technology,6,168,4.0
1803,Supreme Court,1,168,1.0
1803,U.S. Constitution,20,168,12.0
1804,Adams Family Finances,1,99,1.0
1804,Democratic-Republican Party (1801–1824),3,99,3.0
1804,Dueling,2,99,2.0
1804,Federalist Party,1,99,1.0
1804,French Revolution>,1,99,1.0
1804,Health and Illness,7,99,7.000000000000001
1804,Impressment,2,99,2.0
1804,Louisiana Purchase,1,99,1.0
1804,Native Americans,2,99,2.0
1804,Recreation,32,99,32.0
1804,Religion,13,99,13.0
1804,Slave Trade,7,99,7.000000000000001
1804,Supreme Court,17,99,17.0
1804,U.S. Constitution,10,99,10.0
1805,Adams Family Finances,2,85,2.0
1805,Adams Family Relations,2,85,2.0
1805,Adams Family Residences,5,85,6.0
1805,American Revolution,1,85,1.0
1805,Articles of Confederation,1,85,1.0
1805,Democratic-Republican Party (1801–1824),3,85,4.0
1805,Dueling,1,85,1.0
1805,Federalist Party,1,85,1.0
1805,Health and Illness,16,85,19.0
1805,Internal Improvements,3,85,4.0
1805,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,85,1.0
1805,Native Americans,13,85,15.0
1805,Recreation,21,85,25.0
1805,Religion,6,85,7.000000000000001
1805,Slave Trade,2,85,2.0
1805,U.S. Constitution,7,85,8.0
1806,Adams Family Residences,4,81,5.0
1806,African Americans,1,81,1.0
1806,Boylston Professor of Rhetoric and Oratory (1805-1809),25,81,31.0
1806,Democratic-Republican Party (1801–1824),4,81,5.0
1806,Dueling,1,81,1.0
1806,Federalist Party,2,81,2.0
1806,Health and Illness,16,81,20.0
1806,Louisiana Purchase,1,81,1.0
1806,Napoleonic Wars,2,81,2.0
1806,Native Americans,5,81,6.0
1806,Recreation,13,81,16.0
1806,Reform Movements,1,81,1.0
1806,Religion,1,81,1.0
1806,Slave Trade,1,81,1.0
1806,Supreme Court,3,81,4.0
1806,U.S. Constitution,1,81,1.0
1807,Adams Family Finances,8,116,7.000000000000001
1807,Adams Family Relations,2,116,2.0
1807,Adams Family Residences,5,116,4.0
1807,African Americans,1,116,1.0
1807,Boylston Professor of Rhetoric and Oratory (1805-1809),16,116,14.000000000000002
1807,Chesapeake Affair (1807),4,116,3.0
1807,Continental System (Europe),1,116,1.0
1807,Elections,3,116,3.0
1807,Embargo,7,116,6.0
1807,Federalist Party,2,116,2.0
1807,Health and Illness,24,116,21.0
1807,Impressment,3,116,3.0
1807,Internal Improvements,1,116,1.0
1807,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,116,1.0
1807,Native Americans,1,116,1.0
1807,Presidential (1808),3,116,3.0
1807,Recreation,21,116,18.0
1807,Religion,4,116,3.0
1807,Slave Trade,3,116,3.0
1807,Supreme Court,4,116,3.0
1807,U.S. Constitution,2,116,2.0
1808,Adams Family Residences,1,159,1.0
1808,American Revolution,1,159,1.0
1808,Boylston Professor of Rhetoric and Oratory (1805-1809),21,159,13.0
1808,Caucus System for Nominating Presidential Candidates,2,159,1.0
1808,Chesapeake Affair (1807),1,159,1.0
1808,Democratic-Republican Party (1801–1824),8,159,5.0
1808,Diplomacy/Diplomatic Activities,2,159,1.0
1808,Dueling,2,159,1.0
1808,Elections,12,159,8.0
1808,Embargo,22,159,14.000000000000002
1808,Essex Junto,1,159,1.0
1808,Federalist Party,9,159,6.0
1808,Foreign Relations,3,159,2.0
1808,Health and Illness,24,159,15.0
1808,Impressment,2,159,1.0
1808,Native Americans,9,159,6.0
1808,Orders in Council (British),2,159,1.0
1808,Presidential (1808),12,159,8.0
1808,Press,1,159,1.0
1808,Recreation,14,159,9.0
1808,Supreme Court,8,159,5.0
1808,U.S. Constitution,2,159,1.0
1809,Adams Family Finances,1,234,0.0
1809,Adams Family Residences,8,234,3.0
1809,African Americans,4,234,2.0
1809,American Revolution,3,234,1.0
1809,Bank of the United States,1,234,0.0
1809,Blockades,1,234,0.0
1809,Boylston Professor of Rhetoric and Oratory (1805-1809),17,234,7.000000000000001
1809,Commerce,2,234,1.0
1809,Court Life and Society (European),16,234,7.000000000000001
1809,Diplomacy/Diplomatic Activities,3,234,1.0
1809,Dueling,2,234,1.0
1809,Elections,1,234,0.0
1809,Embargo,3,234,1.0
1809,Federalist Party,1,234,0.0
1809,French Revolution>,1,234,0.0
1809,Health and Illness,12,234,5.0
1809,Impressment,1,234,0.0
1809,Orders in Council (British),2,234,1.0
1809,Presidential (1808),1,234,0.0
1809,Recreation,48,234,21.0
1809,Religion,1,234,0.0
1809,Supreme Court,27,234,12.0
1809,Travel and Touring (international),78,234,33.0
1810,Adams Family Finances,1,254,0.0
1810,Adams Family Residences,10,254,4.0
1810,African Americans,4,254,2.0
1810,American Revolution,2,254,1.0
1810,Blockades,5,254,2.0
1810,Commerce,19,254,7.000000000000001
1810,Continental System (Europe),3,254,1.0
1810,Court Life and Society (European),27,254,11.0
1810,Diplomacy/Diplomatic Activities,19,254,7.000000000000001
1810,Embargo,2,254,1.0
1810,European Alliances,1,254,0.0
1810,Foreign Relations,1,254,0.0
1810,French Revolution>,2,254,1.0
1810,Health and Illness,25,254,10.0
1810,Industrialization,1,254,0.0
1810,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,254,0.0
1810,Native Americans,2,254,1.0
1810,Privateering,5,254,2.0
1810,Recreation,107,254,42.0
1810,Religion,14,254,6.0
1810,South American Wars of Independence,1,254,0.0
1810,Textile Industry,1,254,0.0
1810,U.S. Constitution,1,254,0.0
1811,Adams Family Residences,10,190,5.0
1811,African Americans,8,190,4.0
1811,American Revolution,1,190,1.0
1811,Boylston Professor of Rhetoric and Oratory (1805-1809),1,190,1.0
1811,Commerce,17,190,9.0
1811,Continental System (Europe),4,190,2.0
1811,Court Life and Society (European),22,190,12.0
1811,Diplomacy/Diplomatic Activities,5,190,3.0
1811,Dueling,1,190,1.0
1811,Embargo,1,190,1.0
1811,Federalist Party,1,190,1.0
1811,Foreign Relations,2,190,1.0
1811,French Revolution>,4,190,2.0
1811,Health and Illness,41,190,22.0
1811,Louisiana Purchase,1,190,1.0
1811,Orders in Council (British),3,190,2.0
1811,Privateering,6,190,3.0
1811,Recreation,43,190,23.0
1811,Religion,14,190,7.000000000000001
1811,South American Wars of Independence,1,190,1.0
1811,Supreme Court,1,190,1.0
1811,U.S. Constitution,1,190,1.0
1811,War of 1812,2,190,1.0
1812,Adams Family Finances,1,292,0.0
1812,Adams Family Residences,2,292,1.0
1812,African Americans,6,292,2.0
1812,Canals,1,292,0.0
1812,Chesapeake Affair (1807),2,292,1.0
1812,Commerce,4,292,1.0
1812,Continental System (Europe),3,292,1.0
1812,Court Life and Society (European),15,292,5.0
1812,Diplomacy/Diplomatic Activities,2,292,1.0
1812,Dueling,2,292,1.0
1812,Elections,3,292,1.0
1812,Embargo,1,292,0.0
1812,European Alliances,5,292,2.0
1812,Federalist Party,3,292,1.0
1812,Foreign Relations,1,292,0.0
1812,French Revolution>,2,292,1.0
1812,Health and Illness,54,292,18.0
1812,Impressment,2,292,1.0
1812,Napoleonic Wars,57,292,20.0
1812,Native Americans,1,292,0.0
1812,Orders in Council (British),10,292,3.0
1812,Presidential (1812),3,292,1.0
1812,Privateering,1,292,0.0
1812,Recreation,76,292,26.0
1812,Religion,6,292,2.0
1812,Slave Trade,1,292,0.0
1812,South American Wars of Independence,1,292,0.0
1812,Steam Power,1,292,0.0
1812,War of 1812,26,292,9.0
1813,Adams Family Relations,6,271,2.0
1813,African Americans,5,271,2.0
1813,American Revolution,2,271,1.0
1813,Bank of the United States,1,271,0.0
1813,Blockades,2,271,1.0
1813,Commerce,1,271,0.0
1813,Court Life and Society (European),25,271,9.0
1813,Diplomacy/Diplomatic Activities,16,271,6.0
1813,Dueling,1,271,0.0
1813,Elections,2,271,1.0
1813,European Alliances,3,271,1.0
1813,Foreign Relations,15,271,6.0
1813,French Revolution>,3,271,1.0
1813,Health and Illness,34,271,13.0
1813,Impressment,7,271,3.0
1813,Napoleonic Wars,66,271,24.0
1813,Native Americans,2,271,1.0
1813,Orders in Council (British),1,271,0.0
1813,Presidential (1812),2,271,1.0
1813,Privateering,4,271,1.0
1813,Recreation,20,271,7.000000000000001
1813,Reform Movements,1,271,0.0
1813,Religion,13,271,5.0
1813,U.S. Constitution,1,271,0.0
1813,War of 1812,38,271,14.000000000000002
1814,African Americans,10,403,2.0
1814,American Revolution,3,403,1.0
1814,Commerce,2,403,0.0
1814,Court Life and Society (European),9,403,2.0
1814,Diplomacy/Diplomatic Activities,70,403,17.0
1814,Dueling,1,403,0.0
1814,Foreign Relations,20,403,5.0
1814,French Revolution>,1,403,0.0
1814,Hartford Convention (1814-1815),1,403,0.0
1814,Health and Illness,9,403,2.0
1814,Impressment,10,403,2.0
1814,Jay Treaty (Anglo-American Commercial Treaty of 1795),7,403,2.0
1814,Louisiana Purchase,2,403,0.0
1814,Napoleonic Wars,19,403,5.0
1814,Native Americans,22,403,5.0
1814,Recreation,95,403,24.0
1814,Religion,8,403,2.0
1814,Sectionalism,3,403,1.0
1814,Slave Trade,10,403,2.0
1814,Steam Power,1,403,0.0
1814,Travel and Touring (international),30,403,7.000000000000001
1814,Treaty of Ghent,32,403,8.0
1814,Treaty of Paris (1783),11,403,3.0
1814,U.S. Constitution,1,403,0.0
1814,War of 1812,26,403,6.0
1815,Adams Family Residences,5,309,2.0
1815,African Americans,9,309,3.0
1815,American Revolution,3,309,1.0
1815,Barbary Wars/Barbary Pirates,10,309,3.0
1815,Commerce,10,309,3.0
1815,Continental System (Europe),1,309,0.0
1815,Court Life and Society (European),12,309,4.0
1815,Diplomacy/Diplomatic Activities,16,309,5.0
1815,Dueling,3,309,1.0
1815,French Revolution>,1,309,0.0
1815,Hartford Convention (1814-1815),1,309,0.0
1815,Health and Illness,42,309,14.000000000000002
1815,Impressment,7,309,2.0
1815,Jay Treaty (Anglo-American Commercial Treaty of 1795),3,309,1.0
1815,Louisiana Purchase,2,309,1.0
1815,Napoleonic Wars,24,309,8.0
1815,Native Americans,5,309,2.0
1815,Orders in Council (British),1,309,0.0
1815,Recreation,95,309,31.0
1815,Religion,3,309,1.0
1815,Slave Trade,3,309,1.0
1815,Slavery,1,309,0.0
1815,Travel and Touring (international),12,309,4.0
1815,Treaty of Ghent,20,309,6.0
1815,Treaty of Paris (1783),2,309,1.0
1815,U.S. Constitution,1,309,0.0
1815,War of 1812,17,309,6.0
1816,Adams Family Finances,2,231,1.0
1816,Adams Family Residences,8,231,3.0
1816,African Americans,30,231,13.0
1816,American Revolution,2,231,1.0
1816,Bank of the United States,3,231,1.0
1816,Barbary Wars/Barbary Pirates,11,231,5.0
1816,Boylston Professor of Rhetoric and Oratory (1805-1809),1,231,0.0
1816,Commerce,12,231,5.0
1816,Court Life and Society (European),24,231,10.0
1816,Diplomacy/Diplomatic Activities,10,231,4.0
1816,Elections,3,231,1.0
1816,Foreign Relations,2,231,1.0
1816,Health and Illness,19,231,8.0
1816,Impressment,4,231,2.0
1816,Jay Treaty (Anglo-American Commercial Treaty of 1795),2,231,1.0
1816,Native Americans,5,231,2.0
1816,Orders in Council (British),3,231,1.0
1816,Presidential (1816),3,231,1.0
1816,Recreation,45,231,19.0
1816,Religion,7,231,3.0
1816,Sectionalism,1,231,0.0
1816,Slave Trade,9,231,4.0
1816,Slave Trade\,1,231,0.0
1816,Slavery,1,231,0.0
1816,South American Wars of Independence,5,231,2.0
1816,Treaty of Ghent,5,231,2.0
1816,Treaty of Paris (1783),1,231,0.0
1816,U.S. Constitution,2,231,1.0
1816,Unitarianism,2,231,1.0
1816,War of 1812,8,231,3.0
1817,Adams Family Residences,11,220,5.0
1817,African Americans,3,220,1.0
1817,Bank of the United States,5,220,2.0
1817,Commerce,3,220,1.0
1817,Court Life and Society (European),8,220,4.0
1817,Diplomacy/Diplomatic Activities,9,220,4.0
1817,European Alliances,1,220,0.0
1817,Foreign Relations,2,220,1.0
1817,French Revolution>,1,220,0.0
1817,Health and Illness,17,220,8.0
1817,Impressment,2,220,1.0
1817,Jay Treaty (Anglo-American Commercial Treaty of 1795),1,220,0.0
1817,Louisiana Purchase,1,220,0.0
1817,Privateering,3,220,1.0
1817,Recreation,73,220,33.0
1817,Religion,9,220,4.0
1817,Slave Trade,3,220,1.0
1817,South American Wars of Independence,8,220,4.0
1817,Travel and Touring (international),52,220,24.0
1817,Treaty of Ghent,4,220,2.0
1817,Treaty of Paris (1783),1,220,0.0
1817,Unitarianism,2,220,1.0
1817,Utopian Communities,1,220,0.0
1820,Elections,1,2,50.0
1820,Presidential (1812),1,2,50.0
1822,Elections,1,2,50.0
1822,Presidential (1816),1,2,50.0
1824,Elections,1,2,50.0
1824,Presidential (1816),1,2,50.0
1825,Adams Family Finances,1,50,2.0
1825,Adams-Onis Treaty,1,50,2.0
1825,Foreign Relations,2,50,4.0
1825,Health and Illness,1,50,2.0
1825,Internal Improvements,3,50,6.0
1825,Native Americans,17,50,34.0
1825,Recreation,19,50,38.0
1825,Sectionalism,1,50,2.0
1825,Seminole Wars,1,50,2.0
1825,Slave Trade,2,50,4.0
1825,Treaty of Ghent,1,50,2.0
1825,Utopian Communities,1,50,2.0
1826,Adams Family Finances,22,179,12.0
1826,Adams Family Relations,6,179,3.0
1826,African Americans,5,179,3.0
1826,Bank of the United States,2,179,1.0
1826,Canals,6,179,3.0
1826,Commerce,2,179,1.0
1826,Foreign Relations,12,179,7.000000000000001
1826,Health and Illness,9,179,5.0
1826,Industrialization,2,179,1.0
1826,Internal Improvements,2,179,1.0
1826,Native Americans,9,179,5.0
1826,Railroads,6,179,3.0
1826,Recreation,71,179,40.0
1826,Roads,2,179,1.0
1826,Slave Trade,3,179,2.0
1826,Slavery,10,179,6.0
1826,Steam Power,1,179,1.0
1826,Treaty of Ghent,5,179,3.0
1826,Unitarianism,2,179,1.0
1826,War of 1812,2,179,1.0
1827,Adams Family Finances,15,391,4.0
1827,Adams Family Relations,3,391,1.0
1827,Adams Family Residences,7,391,2.0
1827,African Americans,5,391,1.0
1827,Anti-Masonic Party,2,391,1.0
1827,Canals,15,391,4.0
1827,Colonization Movements,8,391,2.0
1827,Commerce,3,391,1.0
1827,Corrupt Bargain,2,391,1.0
1827,Dueling,7,391,2.0
1827,Elections,4,391,1.0
1827,Emancipation,1,391,0.0
1827,Foreign Relations,22,391,6.0
1827,Health and Illness,23,391,6.0
1827,Impressment,1,391,0.0
1827,Industrialization,2,391,1.0
1827,Internal Improvements,5,391,1.0
1827,Louisiana Purchase,2,391,1.0
1827,Missouri Compromise,1,391,0.0
1827,Native Americans,38,391,10.0
1827,Presidential (1828),4,391,1.0
1827,Privateering,1,391,0.0
1827,Railroads,5,391,1.0
1827,Recreation,180,391,46.0
1827,Religion,1,391,0.0
1827,Science and Technology,1,391,0.0
1827,Slave Trade,5,391,1.0
1827,Slavery,2,391,1.0
1827,States Rights,7,391,2.0
1827,Steam Power,1,391,0.0
1827,Suffrage,1,391,0.0
1827,Temperance Movement,2,391,1.0
1827,Textile Industry,3,391,1.0
1827,U.S. Constitution,2,391,1.0
1827,Unitarianism,5,391,1.0
1827,War of 1812,2,391,1.0
1827,West,1,391,0.0
1827,Westward Exploration and Expansion/Westward Migration/Manifest Destiny,2,391,1.0
1828,Adams Family Finances,7,463,2.0
1828,Adams Family Relations,1,463,0.0
1828,African Americans,8,463,2.0
1828,American Revolution,3,463,1.0
1828,Anti-Masonic Party,4,463,1.0
1828,Canals,15,463,3.0
1828,Colonization Movements,4,463,1.0
1828,Commerce,1,463,0.0
1828,Corrupt Bargain,4,463,1.0
1828,Dueling,3,463,1.0
1828,Elections,19,463,4.0
1828,Federalist Party,8,463,2.0
1828,Foreign Relations,23,463,5.0
1828,Hartford Convention (1814-1815),2,463,0.0
1828,Health and Illness,16,463,3.0
1828,Internal Improvements,8,463,2.0
1828,Louisiana Purchase,1,463,0.0
1828,Native Americans,78,463,17.0
1828,Oregon Territory,1,463,0.0
1828,Presidential (1812),1,463,0.0
1828,Presidential (1824),1,463,0.0
1828,Presidential (1828),16,463,3.0
1828,Presidential (1832),1,463,0.0
1828,Privateering,5,463,1.0
1828,Railroads,3,463,1.0
1828,Recreation,185,463,40.0
1828,Religion,5,463,1.0
1828,Science and Technology,1,463,0.0
1828,Sectionalism,2,463,0.0
1828,Slave Trade,16,463,3.0
1828,Slavery,9,463,2.0
1828,Supreme Court,4,463,1.0
1828,Treaty of Ghent,2,463,0.0
1828,U.S. Constitution,2,463,0.0
1828,Unitarianism,3,463,1.0
1828,War of 1812,1,463,0.0
1829,Adams Family Finances,37,315,12.0
1829,Adams Family Relations,1,315,0.0
1829,Adams Family Residences,12,315,4.0
1829,African Americans,2,315,1.0
1829,American Revolution,2,315,1.0
1829,Anti-Masonic Party,4,315,1.0
1829,Bank of the United States,1,315,0.0
1829,Canals,7,315,2.0
1829,Colonization Movements,1,315,0.0
1829,Dueling,2,315,1.0
1829,Elections,3,315,1.0
1829,Federalist Party,5,315,2.0
1829,Foreign Relations,8,315,3.0
1829,Hartford Convention (1814-1815),5,315,2.0
1829,Health and Illness,17,315,5.0
1829,Impressment,1,315,0.0
1829,Internal Improvements,1,315,0.0
1829,Louisiana Purchase,1,315,0.0
1829,Native Americans,18,315,6.0
1829,Presidential (1828),2,315,1.0
1829,Presidential (1832),1,315,0.0
1829,Privateering,2,315,1.0
1829,Railroads,1,315,0.0
1829,Recreation,136,315,43.0
1829,Religion,16,315,5.0
1829,Sectionalism,4,315,1.0
1829,Slave Trade,1,315,0.0
1829,Spoils System,15,315,5.0
1829,States Rights,1,315,0.0
1829,Steam Power,1,315,0.0
1829,Supreme Court,3,315,1.0
1829,Unitarianism,3,315,1.0
1829,War of 1812,1,315,0.0
1830,Adams Family Finances,37,521,7.000000000000001
1830,Adams Family Relations,9,521,2.0
1830,Adams Family Residences,4,521,1.0
1830,American Revolution,9,521,2.0
1830,Anti-Masonic Party,13,521,2.0
1830,Bank of the United States,3,521,1.0
1830,Boylston Professor of Rhetoric and Oratory (1805-1809),1,521,0.0
1830,Canals,4,521,1.0
1830,Corrupt Bargain,2,521,0.0
1830,Democratic Party (after 1824),2,521,0.0
1830,Democratic-Republican Party (1801–1824),1,521,0.0
1830,Diplomacy/Diplomatic Activities,15,521,3.0
1830,Dueling,3,521,1.0
1830,Elections,14,521,3.0
1830,Essex Junto,1,521,0.0
1830,European Alliances,2,521,0.0
1830,Federalist Party,3,521,1.0
1830,Florida Annexation,2,521,0.0
1830,Foreign Relations,36,521,7.000000000000001
1830,Hartford Convention (1814-1815),2,521,0.0
1830,Health and Illness,83,521,16.0
1830,Internal Improvements,6,521,1.0
1830,Louisiana Purchase,1,521,0.0
1830,National Republican Party,3,521,1.0
1830,Native Americans,14,521,3.0
1830,Nullification,5,521,1.0
1830,Presidential (1832),14,521,3.0
1830,Press,5,521,1.0
1830,Privateering,1,521,0.0
1830,Quasi War (Franco-American),1,521,0.0
1830,Railroads,4,521,1.0
1830,Recreation,81,521,16.0
1830,Religion,74,521,14.000000000000002
1830,Roads,1,521,0.0
1830,Science and Technology,3,521,1.0
1830,Seminole Wars,3,521,1.0
1830,Slavery,4,521,1.0
1830,South American Wars of Independence,1,521,0.0
1830,Spoils System,12,521,2.0
1830,Steam Power,2,521,0.0
1830,Supreme Court,12,521,2.0
1830,Tariff of 1828 (Abominations),5,521,1.0
1830,Treaty of Ghent,2,521,0.0
1830,U.S. Constitution,8,521,2.0
1830,Unitarianism,13,521,2.0
1831,Adams Family Finances,51,827,6.0
1831,Adams Family Relations,8,827,1.0
1831,Adams Family Residences,13,827,2.0
1831,African Americans,2,827,0.0
1831,American Revolution,20,827,2.0
1831,American System,1,827,0.0
1831,Anti-Masonic Party,41,827,5.0
1831,Anti-Slavery Movements,2,827,0.0
1831,Anti-Slavery Petitions to Congress,3,827,0.0
1831,Articles of Confederation,2,827,0.0
1831,Bank of the United States,8,827,1.0
1831,Barbary Wars/Barbary Pirates,1,827,0.0
1831,Boylston Professor of Rhetoric and Oratory (1805-1809),1,827,0.0
1831,Canals,4,827,0.0
1831,Colonization Movements,3,827,0.0
1831,Commerce,5,827,1.0
1831,Continental Congress,4,827,0.0
1831,Diplomacy/Diplomatic Activities,11,827,1.0
1831,Dueling,2,827,0.0
1831,Elections,36,827,4.0
1831,Emancipation,1,827,0.0
1831,Era of Good Feelings,1,827,0.0
1831,European Alliances,1,827,0.0
1831,Federalist Party,1,827,0.0
1831,Florida Annexation,3,827,0.0
1831,Foreign Relations,26,827,3.0
1831,Health and Illness,87,827,11.0
1831,Internal Improvements,9,827,1.0
1831,Napoleonic Wars,1,827,0.0
1831,National Nominating Conventions,7,827,1.0
1831,National Republican Party,6,827,1.0
1831,Native Americans,16,827,2.0
1831,Northwest Ordinance (1787),1,827,0.0
1831,Nullification,8,827,1.0
1831,Presidential (1824),1,827,0.0
1831,Presidential (1828),5,827,1.0
1831,Presidential (1832),30,827,4.0
1831,Press,14,827,2.0
1831,Railroads,7,827,1.0
1831,Recreation,123,827,15.0
1831,Religion,171,827,21.0
1831,Roads,1,827,0.0
1831,Science and Technology,1,827,0.0
1831,Seminole Wars,10,827,1.0
1831,Slave Trade,3,827,0.0
1831,Slavery,6,827,1.0
1831,South,3,827,0.0
1831,Spoils System,4,827,0.0
1831,Steam Power,8,827,1.0
1831,Supreme Court,15,827,2.0
1831,Tariff of 1816,1,827,0.0
1831,Tariff of 1828 (Abominations),9,827,1.0
1831,Temperance Movement,1,827,0.0
1831,Treaty of Ghent,1,827,0.0
1831,Treaty of Paris (1783),2,827,0.0
1831,U.S. Constitution,8,827,1.0
1831,Unitarianism,14,827,2.0
1831,War of 1812,2,827,0.0
1831,Women's Rights,1,827,0.0
1832,Adams Family Finances,60,765,8.0
1832,Adams Family Relations,10,765,1.0
1832,Adams Family Residences,4,765,1.0
1832,American Revolution,21,765,3.0
1832,Anti-Masonic Party,10,765,1.0
1832,Anti-Slavery Movements,1,765,0.0
1832,Anti-Slavery Petitions to Congress,4,765,1.0
1832,Asylum Movement,3,765,0.0
1832,Bank of the United States,79,765,10.0
1832,Canals,6,765,1.0
1832,Commerce,18,765,2.0
1832,Continental Congress,1,765,0.0
1832,Diplomacy/Diplomatic Activities,17,765,2.0
1832,Elections,13,765,2.0
1832,Foreign Relations,19,765,2.0
1832,Health and Illness,86,765,11.0
1832,Internal Improvements,7,765,1.0
1832,Missouri Compromise,1,765,0.0
1832,National Nominating Conventions,1,765,0.0
1832,National Republican Party,9,765,1.0
1832,Native Americans,18,765,2.0
1832,Nullification,19,765,2.0
1832,Presidential (1832),13,765,2.0
1832,Press,22,765,3.0
1832,Privateering,2,765,0.0
1832,Prussian-American Treaty of Amity and Commerce (1799),3,765,0.0
1832,Railroads,8,765,1.0
1832,Recreation,60,765,8.0
1832,Religion,180,765,24.0
1832,Science and Technology,5,765,1.0
1832,Seminole Wars,1,765,0.0
1832,Slave Trade,1,765,0.0
1832,Slavery,1,765,0.0
1832,South,1,765,0.0
1832,Spoils System,3,765,0.0
1832,Steam Power,6,765,1.0
1832,Supreme Court,6,765,1.0
1832,Tariff of 1828 (Abominations),27,765,4.0
1832,Temperance Movement,1,765,0.0
1832,U.S. Constitution,11,765,1.0
1832,Unitarianism,3,765,0.0
1832,War of 1812,4,765,1.0
