year,subjects,count,total,percentage
1810,Literature/History,3,50,6.0
1810,Morality/Ethics,1,50,2.0
1810,Motherhood,2,50,4.0
1810,National Identity,1,50,2.0
1810,Politics (US),1,50,2.0
1810,Religion,4,50,8.0
1810,Sedgwick Family Finances,1,50,2.0
1810,Sedgwick Family Relations,5,50,10.0
1810,Shopping/Material Exchange,4,50,8.0
1810,Transportation,1,50,2.0
1810,Travel and Touring (U.S.),1,50,2.0
1810,Travel and Touring (US),2,50,4.0
1810,Work,2,50,4.0
1811,Authorship,2,56,4.0
1811,Childbirth/Pregnancy,1,56,2.0
1811,Children/Childhood,1,56,2.0
1811,Clothing/Fashion,1,56,2.0
1811,Courtship,4,56,7.000000000000001
1811,Domestic Life and Duties,1,56,2.0
1811,Etiquette/Manners,4,56,7.000000000000001
1811,Fatherhood,1,56,2.0
1811,Food/Drink,1,56,2.0
1811,Friendship,2,56,4.0
1811,Gender Roles,4,56,7.000000000000001
1811,Health/Illness,4,56,7.000000000000001
1811,Housewares/Furnishings,1,56,2.0
1811,Leisure ActivitiesTravel and Touring (U.S.),1,56,2.0
1811,Literature and History,1,56,2.0
1811,Literature/History,1,56,2.0
1811,Marriage/Marital Relations,3,56,5.0
1811,Morality/Ethics,2,56,4.0
1811,Religion,2,56,4.0
1811,Sedgwick Family Relations,6,56,11.0
1811,Self-reflection,1,56,2.0
1811,Shopping/Material Exchange,1,56,2.0
1811,Singlehood,2,56,4.0
1811,Social Life/Networks,5,56,9.0
1811,Transportation,1,56,2.0
1811,Travel and Touring (U.S.),1,56,2.0
1811,Travel/Touring (U.S.),1,56,2.0
1811,Work,1,56,2.0
1812,Arts Visual and Performing,1,138,1.0
1812,Authorship,4,138,3.0
1812,Blockades,1,138,1.0
1812,Childcare,3,138,2.0
1812,Children/Childhood,1,138,1.0
1812,City/Urban Life,2,138,1.0
1812,Clothing/Fashion,4,138,3.0
1812,Courtship,7,138,5.0
1812,Death/Mourning,1,138,1.0
1812,Domestic Animals,1,138,1.0
1812,Domestic Life and Duties,7,138,5.0
1812,Education,1,138,1.0
1812,Elections,2,138,1.0
1812,Etiquette/Manners,2,138,1.0
1812,Friendship,2,138,1.0
1812,Gender Roles,8,138,6.0
1812,Health/Illness,13,138,9.0
1812,Health/WellnessVillage/Rural Life,1,138,1.0
1812,Leisure Activities,1,138,1.0
1812,Literature/History,1,138,1.0
1812,Marriage/Marital Relations,2,138,1.0
1812,Morality and Ethics,1,138,1.0
1812,Morality/Ethics,2,138,1.0
1812,National Identity,1,138,1.0
1812,Politics (US),4,138,3.0
1812,Politics (non-US),1,138,1.0
1812,Privateering,1,138,1.0
1812,Public Service,1,138,1.0
1812,Religion,10,138,7.000000000000001
1812,Sedgwick Family Relations,15,138,11.0
1812,Self-reflection,6,138,4.0
1812,Shopping/Material Exchange,10,138,7.000000000000001
1812,Social Life/Networks,6,138,4.0
1812,Transportation,1,138,1.0
1812,Travel (US),1,138,1.0
1812,Travel and Touring (International),2,138,1.0
1812,Travel and Touring (US),2,138,1.0
1812,Village/Rural Life,2,138,1.0
1812,War of 1812,3,138,2.0
1812,Work,4,138,3.0
1813,Authorship,1,55,2.0
1813,Childbirth/Pregnancy,1,55,2.0
1813,City/Urban Life,1,55,2.0
1813,Clothing/Fashion,2,55,4.0
1813,Death/Mourning,5,55,9.0
1813,Domestic Life and Duties,5,55,9.0
1813,Fatherhood,3,55,5.0
1813,Food/Drink,1,55,2.0
1813,Gender Roles,3,55,5.0
1813,Health/Illness,7,55,13.0
1813,Religion,7,55,13.0
1813,Sedgwick Family Relations,8,55,15.0
1813,Sedgwick Family Residences,1,55,2.0
1813,Self-reflection,3,55,5.0
1813,Shopping/Material Exchange,2,55,4.0
1813,Social Life/Networks,2,55,4.0
1813,Unitarianism,3,55,5.0
